,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
173,Product Marketing,21,India,APAC,Currently Unemployed, No- I have not ,"Email,WhatsApp",15-20 hours,english  ,linkedin
174,Product Marketing,31,India,APAC,Currently Unemployed, No- I have not ,"WhatsApp,Instagram",20-25 hours,no  ,linkedin
175,Product Marketing,19,India,APAC,University Student, No- I have not ,"WhatsApp,Email,LinkedIn",15-20 hours,no  ,linkedin
176,"Product Development,Product Design",21,India,APAC,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",15-20 hours,english  ,linkedin
177,Product Development,19,India,APAC,University Student, Yes- I have completed multiple such courses ,Email,20-25 hours,None  ,linkedin
178,"Product Development,Product Marketing,Product Growth ",20,India,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
179,"Product Design,Product Development",35,India,APAC,Employed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn",20-25 hours,english  ,referral
180,Product Development,21,India,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,"marathi,hindi,english",instagram
181,Product Design,22,India,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,None  ,referral
182,Product Development,20,India,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,no  ,referral
183,Product Development,23,India,APAC,Employed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Instagram,Email",15-20 hours,malayalam  ,referral
184,Product Marketing,24,India,APAC,High School Student, No- I have not ,WhatsApp,10-15 hours,english  ,linkedin
185,"Product Growth ,Product Marketing",29,India,APAC,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn,WhatsApp",10-15 hours,no  ,linkedin
186,Product Development,19,India,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,Instagram",10-15 hours,english  ,instagram
187,Product Growth,26,India,APAC,Employed, No- I have not ,"WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
188,Product Development,28,India,APAC,Currently Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
189,Product Marketing,21,India,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,hindi  ,linkedin
190,"Product Development,Product Design",19,India,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,Instagram",15-20 hours,None  ,instagram
191,"Product Design,Product Growth ",21,India,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,referral
192,Product Growth,22,India,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Instagram,LinkedIn,WhatsApp,Email",10-15 hours,hindi  ,linkedin
193,Product Development,20,India,APAC,University Student, No- I have not ,"LinkedIn,WhatsApp",20-25 hours,english  ,linkedin
194,"Product Marketing,Product Design",23,India,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",15-20 hours,english  ,linkedin
195,Product Design,22,India,APAC,University Student, No- I have not ,Email,20-25 hours,no  ,linkedin
196,"Product Design,Product Development",20,India,APAC,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,instagram
197,Product Design,20,India,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,gujarati  ,referral
198,Product Design,23,India,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
199,Product Design,21,India,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
200,Product Design,22,India,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",20-25 hours,hindi  ,linkedin
201,Product Development,19,India,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,no  ,linkedin
202,Product Development,22,India,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,english  ,linkedin
203,Product Development,22,India,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,None  ,linkedin
204,"Product Development,Product Design",24,India,APAC,Recently Graduated and Unemployed, No- I have not ,Email,20-25 hours,"hindi,english ",linkedin
205,Product Development,22,India,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
206,"Product Design,Product Development",20,India,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,hindi  ,linkedin
207,Product Development,20,India,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
208,Product Development,23,India,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",20-25 hours,english  ,linkedin
209,Product Development,20,India,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,no  ,linkedin
210,Product Development,21,India,APAC,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
211,Product Development,21,India,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",20-25 hours,english  ,linkedin
212,"Product Marketing,Product Growth ,Product Development,Product Design",21,India,APAC,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn,Instagram",15-20 hours,no  ,linkedin
213,Product Design,21,India,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",20-25 hours,english  ,linkedin
214,Product Design,21,India,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",20-25 hours,no  ,linkedin
215,Product Development,20,India,APAC,University Student, Yes- I have completed multiple such courses ,Email,15-20 hours,english  ,linkedin
216,"Product Marketing,Product Development,Product Growth ",21,India,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",15-20 hours,english  ,linkedin
217,Product Design,22,India,APAC,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",20-25 hours,english  ,linkedin
218,Product Development,22,India,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
219,Product Design,21,India,APAC,University Student, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
220,"Product Design,Product Development,Product Growth ",19,India,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
221,Product Growth,22,Indonesia,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,bahasa  ,referral
222,Product Marketing,19,Indonesia,APAC,University Student, No- I have not ,"WhatsApp,Email",20-25 hours,None  ,linkedin
223,Product Growth,23,Indonesia,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,LinkedIn",10-15 hours,"english,bahasa ",linkedin
