,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
580,"Product Marketing,Product Design,Product Development",21,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Instagram,Email",10-15 hours,None  ,referral
581,"Product Design,Product Development,Product Growth ",20,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"LinkedIn,WhatsApp,Instagram,Email",15-20 hours,english  ,linkedin
582,Product Marketing,27,Pakistan,APAC,Employed, Yes- I have completed multiple such courses ,"WhatsApp,Email",20-25 hours,english  ,linkedin
583,Product Marketing,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"LinkedIn,WhatsApp",15-20 hours,turkish  ,linkedin
584,"Product Marketing,Product Growth ",25,Pakistan,APAC,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,None  ,indeed
585,Product Design,24,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",15-20 hours,no  ,indeed
586,Product Design,22,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,10-15 hours,None  ,indeed
587,"Product Marketing,Product Development,Product Growth ,Product Design",21,Pakistan,APAC,University Student, No- I have not ,"Instagram,WhatsApp,Email",10-15 hours,english  ,linkedin
588,"Product Marketing,Product Growth ",21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn,Instagram",10-15 hours,None  ,linkedin
589,Product Marketing,20,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,instagram
590,"Product Growth ,Product Development",18,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,instagram
591,"Product Marketing,Product Design,Product Development",22,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
592,"Product Design,Product Development",20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,None  ,linkedin
593,"Product Design,Product Marketing",20,Pakistan,APAC,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,referral
594,Product Marketing,21,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,indeed
595,Product Design,24,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",20-25 hours,None  ,referral
596,Product Marketing,23,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",15-20 hours,english  ,referral
597,Product Marketing,20,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,referral
598,Product Marketing,22,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",15-20 hours,None  ,referral
599,"Product Design,Product Development",23,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,referral
600,Product Development,22,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,no  ,linkedin
601,Product Marketing,19,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,no  ,referral
602,"Product Marketing,Product Design",23,Pakistan,APAC,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,instagram
603,Product Development,21,Pakistan,APAC,University Student, No- I have not ,Email,10-15 hours,english  ,google
604,Product Marketing,27,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,10-15 hours,None  ,referral
605,Product Marketing,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,LinkedIn,20-25 hours,None  ,referral
606,"Product Marketing,Product Design",20,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",15-20 hours,None  ,indeed
607,Product Marketing,20,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,english  ,referral
608,"Product Design,Product Marketing",29,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,Instagram",10-15 hours,english  ,referral
609,Product Design,25,Pakistan,APAC,University Student, No- I have not ,WhatsApp,15-20 hours,None  ,indeed
610,"Product Marketing,Product Design",20,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,None  ,referral
611,Product Development,22,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,LinkedIn,Instagram,Email",10-15 hours,english  ,linkedin
612,Product Development,22,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",15-20 hours,english  ,linkedin
613,"Product Design,Product Development",22,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,no  ,referral
614,Product Marketing,24,Pakistan,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn",15-20 hours,english  ,indeed
615,"Product Design,Product Marketing",23,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Instagram",15-20 hours,english  ,referral
616,Product Design,23,Pakistan,APAC,University Student, No- I have not ,"LinkedIn,WhatsApp,Email,Instagram",10-15 hours,english  ,referral
617,"Product Development,Product Design",21,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,referral
618,"Product Design,Product Marketing",23,Pakistan,APAC,Currently Unemployed, No- I have not ,WhatsApp,10-15 hours,None  ,linkedin
619,Product Marketing,27,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,Email,10-15 hours,None  ,referral
620,"Product Development,Product Marketing",21,Pakistan,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,10-15 hours,None  ,indeed
621,Product Marketing,22,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",15-20 hours,no  ,linkedin
622,"Product Marketing,Product Growth ,Product Development",24,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"LinkedIn,WhatsApp,Email",15-20 hours,None  ,referral
623,"Product Marketing,Product Growth ",21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,no  ,indeed
624,Product Marketing,38,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
625,"Product Design,Product Development,Product Marketing",24,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",20-25 hours,None  ,linkedin
626,Product Growth,20,Pakistan,APAC,University Student, No- I have not ,Email,10-15 hours,english  ,indeed
627,Product Design,19,Pakistan,APAC,High School Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Instagram,Email",10-15 hours,english  ,referral
628,"Product Marketing,Product Growth ",24,Pakistan,APAC,Currently Unemployed, No- I have not ,"WhatsApp,Instagram,Email",20-25 hours,english  ,referral
629,"Product Design,Product Development",25,Pakistan,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,15-20 hours,english  ,linkedin
630,Product Marketing,32,Pakistan,APAC,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",10-15 hours,english  ,referral
631,Product Design,24,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,None  ,instagram
632,"Product Growth ,Product Marketing",23,Pakistan,APAC,Currently Unemployed, No- I have not ,"WhatsApp,LinkedIn,Email",10-15 hours,english  ,linkedin
633,"Product Design,Product Development",21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
634,"Product Growth ,Product Development,Product Design",19,Pakistan,APAC,University Student, No- I have not ,WhatsApp,15-20 hours,english  ,referral
635,Product Design,30,Pakistan,APAC,Employed, Yes- I have completed multiple such courses ,"WhatsApp,Email",20-25 hours,None  ,indeed
636,Product Design,25,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",20-25 hours,None  ,referral
637,Product Design,30,Pakistan,APAC,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,15-20 hours,english  ,indeed
638,"Product Marketing,Product Design",21,Pakistan,APAC,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,referral
639,Product Marketing,29,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,None  ,referral
640,"Product Growth ,Product Development,Product Design,Product Marketing",19,Pakistan,APAC,University Student, No- I have not ,"Instagram,WhatsApp",10-15 hours,no  ,referral
641,"Product Marketing,Product Design",22,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,15-20 hours,english  ,referral
642,Product Marketing,22,Pakistan,APAC,University Student, No- I have not ,Email,10-15 hours,no  ,indeed
643,"Product Marketing,Product Design",20,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,indeed
644,"Product Design,Product Marketing",17,Pakistan,APAC,High School Student, No- I have not ,"Email,WhatsApp,Instagram",10-15 hours,None  ,referral
645,Product Marketing,26,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,Email,15-20 hours,english  ,indeed
646,"Product Marketing,Product Growth ",28,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,english  ,linkedin
647,"Product Design,Product Marketing,Product Development",22,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn,Instagram",10-15 hours,english  ,referral
648,Product Marketing,20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,instagram
649,"Product Marketing,Product Design,Product Development,Product Growth ",24,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,None  ,indeed
650,Product Design,21,Pakistan,APAC,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,instagram
651,Product Marketing,21,Pakistan,APAC,High School Student, No- I have not ,WhatsApp,10-15 hours,None  ,referral
652,"Product Marketing,Product Design",21,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",15-20 hours,english  ,indeed
653,"Product Marketing,Product Growth ",25,Pakistan,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn",20-25 hours,None  ,referral
654,Product Marketing,24,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn,Email",20-25 hours,english  ,linkedin
655,"Product Development,Product Design,Product Marketing",25,Pakistan,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,Instagram,LinkedIn",20-25 hours,"no,english ",indeed
656,"Product Marketing,Product Design,Product Development,Product Growth ",22,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
657,"Product Development,Product Growth ,Product Marketing",28,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,referral
658,"Product Design,Product Development",22,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,linkedin
659,Product Growth,25,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,None  ,referral
660,Product Development,22,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,None  ,instagram
661,Product Marketing,22,Pakistan,APAC,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,referral
662,Product Design,22,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,WhatsApp,20-25 hours,no  ,referral
663,Product Marketing,24,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,no  ,referral
664,"Product Marketing,Product Development,Product Growth ",30,Pakistan,APAC,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,linkedin
665,Product Marketing,25,Pakistan,APAC,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,referral
666,Product Growth,25,Pakistan,APAC,Employed, Yes- I have completed multiple such courses ,"WhatsApp,Instagram",10-15 hours,english  ,referral
667,"Product Marketing,Product Development,Product Growth ",29,Pakistan,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,15-20 hours,english  ,linkedin
668,Product Marketing,23,Pakistan,APAC,Currently Unemployed, No- I have not ,WhatsApp,10-15 hours,None  ,indeed
669,Product Marketing,24,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,LinkedIn,Email",20-25 hours,None  ,linkedin
670,Product Marketing,20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,no  ,referral
671,"Product Development,Product Design",21,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,LinkedIn,Email",15-20 hours,english  ,linkedin
672,Product Marketing,24,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,"Email,WhatsApp",10-15 hours,None  ,linkedin
673,"Product Marketing,Product Design",28,Pakistan,APAC,Currently Unemployed, No- I have not ,"Email,WhatsApp,Instagram",10-15 hours,english  ,referral
674,Product Marketing,19,Pakistan,APAC,High School Student, No- I have not ,WhatsApp,20-25 hours,None  ,indeed
675,Product Marketing,22,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,indeed
676,"Product Growth ,Product Marketing,Product Development",24,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,english  ,linkedin
677,"Product Marketing,Product Growth ",23,Pakistan,APAC,Currently Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,None  ,referral
678,Product Marketing,37,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp,LinkedIn",15-20 hours,english  ,linkedin
679,"Product Marketing,Product Growth ",21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,None  ,referral
680,Product Development,24,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,LinkedIn",10-15 hours,None  ,referral
681,Product Marketing,21,Pakistan,APAC,Employed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
682,Product Development,19,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email,LinkedIn",10-15 hours,None  ,referral
683,Product Development,18,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,Instagram,LinkedIn",10-15 hours,None  ,referral
684,"Product Design,Product Marketing",22,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,referral
685,Product Development,24,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,20-25 hours,english  ,referral
686,"Product Design,Product Marketing",22,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,english  ,indeed
687,Product Design,25,Pakistan,APAC,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"LinkedIn,WhatsApp,Email",10-15 hours,None  ,referral
688,"Product Marketing,Product Design",23,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,instagram
689,"Product Marketing,Product Design,Product Development,Product Growth ",23,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,None  ,referral
690,Product Development,24,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,10-15 hours,None  ,indeed
691,"Product Marketing,Product Design,Product Development,Product Growth ",21,Pakistan,APAC,University Student, No- I have not ,Email,10-15 hours,english  ,instagram
692,"Product Marketing,Product Development",21,Pakistan,APAC,Currently Unemployed, No- I have not ,"WhatsApp,Instagram",15-20 hours,english  ,referral
693,Product Marketing,25,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,no  ,referral
694,Product Marketing,21,Pakistan,APAC,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,referral
695,"Product Development,Product Growth ",24,Pakistan,APAC,Employed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,no  ,linkedin
696,Product Growth,25,Pakistan,APAC,Currently Unemployed, No- I have not ,"WhatsApp,Email,LinkedIn",10-15 hours,None  ,linkedin
697,Product Marketing,31,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,10-15 hours,None  ,indeed
698,Product Design,20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,LinkedIn,10-15 hours,english  ,linkedin
699,"Product Development,Product Design",22,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,15-20 hours,english  ,referral
700,"Product Design,Product Marketing",20,Pakistan,APAC,High School Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,20-25 hours,None  ,instagram
701,Product Marketing,20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,no  ,linkedin
702,"Product Marketing,Product Development,Product Growth ",23,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,Instagram",15-20 hours,english  ,indeed
703,Product Design,21,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,LinkedIn,Email",10-15 hours,english  ,linkedin
704,"Product Marketing,Product Growth ,Product Design",22,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,15-20 hours,english  ,indeed
705,"Product Marketing,Product Design",17,Pakistan,APAC,High School Student, No- I have not ,"WhatsApp,Instagram,Email",10-15 hours,english  ,referral
706,Product Design,20,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,linkedin
707,Product Marketing,22,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,Email,10-15 hours,None  ,indeed
708,"Product Marketing,Product Design",18,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email,Instagram",10-15 hours,None  ,linkedin
709,Product Design,22,Pakistan,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",10-15 hours,None  ,referral
710,Product Marketing,21,Pakistan,APAC,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,indeed
711,"Product Design,Product Development",21,Pakistan,APAC,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,referral
712,Product Development,19,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,referral
713,Product Design,28,Pakistan,APAC,Currently Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,indeed
714,Product Growth,23,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,LinkedIn,10-15 hours,english  ,indeed
715,Product Design,24,Pakistan,APAC,High School Student, Yes- I have completed multiple such courses ,WhatsApp,20-25 hours,None  ,referral
716,Product Development,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,LinkedIn",10-15 hours,"no,english ",referral
717,"Product Growth ,Product Development,Product Design,Product Marketing",25,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
718,"Product Marketing,Product Design,Product Development,Product Growth ",27,Pakistan,APAC,Employed, No- I have not ,Email,15-20 hours,no  ,instagram
719,Product Marketing,24,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",15-20 hours,english  ,referral
720,"Product Design,Product Marketing",21,Pakistan,APAC,University Student, No- I have not ,WhatsApp,20-25 hours,None  ,referral
721,"Product Marketing,Product Design,Product Development,Product Growth ",20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,referral
722,Product Marketing,38,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,linkedin
723,"Product Development,Product Design",22,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",10-15 hours,None  ,referral
724,"Product Design,Product Marketing",19,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,indeed
725,Product Development,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn",10-15 hours,None  ,linkedin
726,"Product Marketing,Product Design",21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,english  ,referral
727,Product Marketing,37,Pakistan,APAC,Currently Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,google
728,"Product Marketing,Product Design,Product Development,Product Growth ",23,Pakistan,APAC,Currently Unemployed, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,referral
729,Product Design,28,Pakistan,APAC,Currently Unemployed, No- I have not ,"Email,WhatsApp,LinkedIn,Instagram",15-20 hours,english  ,indeed
730,"Product Marketing,Product Design",25,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,referral
731,"Product Design,Product Marketing,Product Growth ",19,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,facebook
732,"Product Development,Product Marketing",20,Pakistan,APAC,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,linkedin
733,"Product Marketing,Product Design,Product Development,Product Growth ",21,Pakistan,APAC,Employed, No- I have not ,WhatsApp,15-20 hours,english  ,referral
734,Product Marketing,20,Pakistan,APAC,University Student, No- I have not ,WhatsApp,10-15 hours,english  ,referral
735,"Product Marketing,Product Design",23,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,WhatsApp,20-25 hours,no  ,referral
736,Product Marketing,21,Pakistan,APAC,Currently Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,referral
737,"Product Marketing,Product Growth ",18,Pakistan,APAC,High School Student, No- I have not ,"WhatsApp,Email,Instagram",15-20 hours,None  ,indeed
738,"Product Design,Product Marketing",34,Pakistan,APAC,Currently Unemployed, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,indeed
739,Product Marketing,24,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,10-15 hours,english  ,linkedin
740,Product Design,23,Pakistan,APAC,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,WhatsApp,10-15 hours,None  ,referral
741,Product Marketing,29,Pakistan,APAC,Currently Unemployed, Yes- I have completed multiple such courses ,WhatsApp,10-15 hours,english  ,referral
742,"Product Development,Product Growth ",21,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"LinkedIn,WhatsApp,Email",10-15 hours,english  ,linkedin
743,Product Design,23,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,linkedin
744,Product Marketing,20,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,None  ,indeed
745,"Product Design,Product Marketing",20,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email",15-20 hours,None  ,referral
746,"Product Design,Product Development,Product Marketing,Product Growth ",26,Pakistan,APAC,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,google
747,Product Marketing,20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,Email,10-15 hours,english  ,linkedin
748,Product Design,22,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,LinkedIn,Instagram,Email",10-15 hours,english  ,referral
749,Product Development,20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp",10-15 hours,english  ,linkedin
750,Product Design,24,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",10-15 hours,english  ,referral
751,Product Development,22,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,WhatsApp,15-20 hours,None  ,referral
752,Product Design,23,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,LinkedIn,Email",15-20 hours,None  ,linkedin
753,Product Development,20,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",15-20 hours,None  ,linkedin
754,Product Development,19,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,None  ,referral
755,Product Development,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,english  ,linkedin
756,Product Development,19,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",15-20 hours,english  ,linkedin
757,Product Development,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"LinkedIn,Email",10-15 hours,english  ,linkedin
758,Product Development,24,Pakistan,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp,LinkedIn",20-25 hours,None  ,linkedin
759,Product Development,22,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,referral
760,Product Development,21,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn",15-20 hours,hindi  ,linkedin
761,Product Development,23,Pakistan,APAC,Recently Graduated and Unemployed, No- I have not ,"WhatsApp,Email",15-20 hours,english  ,referral
762,Product Development,23,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,english  ,linkedin
763,Product Development,18,Pakistan,APAC,University Student, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn,Instagram",10-15 hours,None  ,linkedin
764,Product Development,24,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",15-20 hours,no  ,linkedin
765,"Product Development,Product Growth ",20,Pakistan,APAC,University Student, I have started a few- but haven't really gotten much out of them/haven't completed any ,"WhatsApp,Email,Instagram",15-20 hours,english  ,linkedin
766,Product Development,23,Pakistan,APAC,Recently Graduated and Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,english  ,linkedin
767,"Product Development,Product Marketing",23,Pakistan,APAC,University Student, No- I have not ,"WhatsApp,Email",10-15 hours,english  ,linkedin
768,Product Development,23,Pakistan,APAC,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp",15-20 hours,english  ,linkedin
769,Product Development,26,Pakistan,APAC,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,"Email,WhatsApp",20-25 hours,english  ,referral
770,Product Marketing,21,PaNoma,Americas,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,referral
771,Product Development,28,Philippines,APAC,University Student, Yes- I have completed multiple such courses ,"LinkedIn,Email",20-25 hours,english  ,linkedin
772,Product Design,23,Poland,Europe,Recently Graduated and Unemployed, No- I have not ,"Email,LinkedIn",20-25 hours,english  ,linkedin
